,Feature_DT,DT_2004,Feature_DT_2008,DT_2008,Feature_DT_2012,DT_2012,Feature_DT_2016,DT_2016
82,State_NJ,0.0028039024620051672,State_NJ,0.002304201687182419,State_NM,8.75972671189048e-05,State_NE,0.0
83,State_NM,0.0008733977686923846,State_NM,0.0008731609458074815,State_NV,0.0,State_NH,0.0
84,State_NV,0.006252505537299468,State_NV,0.006213061601688383,State_NY,0.0,State_NJ,0.01927440461302033
85,State_NY,0.0030838857260766053,State_NY,0.002738695232093016,State_OH,0.00284476676907255,State_NM,0.012139397745136917
86,State_OH,0.006200003397926732,State_OH,0.005989753284108816,State_OK,0.0010922760396714598,State_NV,0.0005253961925454067
87,State_OK,0.0009464037591167244,State_OK,0.0009471693076415725,State_OR,0.0,State_NY,0.001040526457815856
88,State_OR,0.0006660606950213821,State_OR,0.0007842924225981154,State_PA,0.022208002960409194,State_OH,0.029675927768917535
89,State_PA,0.0048024744245683615,State_PA,0.00377489630616961,State_PR,0.0018877513516343647,State_OK,0.0006709484510314205
90,State_PR,0.0015041431677700592,State_PR,0.0015004032696429336,State_RI,0.0,State_OR,0.0008413242278130438
91,State_RI,0.0010490340997022626,State_RI,0.0010490340997022626,State_SC,0.008233388033718796,State_PA,0.00044578664502624725
92,State_SC,0.0018273588398238787,State_SC,0.0021803741864042598,State_SD,0.0,State_PR,0.0
93,State_SD,0.0003357926853501682,State_SD,0.0003357926853501682,State_TN,0.009645310166853409,State_RI,0.0
94,State_TN,0.002979270454477202,State_TN,0.0019006018915116607,State_TX,0.01041961054798316,State_SC,0.0
95,State_TX,0.002781247128945854,State_TX,0.0033643454090132503,State_UT,0.0034000823075458785,State_SD,0.0
96,State_UT,0.00035710064957609463,State_UT,0.00038956434499210337,State_VA,0.00020195072838976252,State_TN,0.012623285972895594
97,State_VA,0.0020357174221690105,State_VA,0.0019903799698506924,State_VI,0.0,State_TX,0.0002555095902478125
98,State_VI,0.0,State_VI,0.0,State_VT,0.0,State_UT,0.007155909109921445
99,State_VT,0.0003553776252215627,State_VT,0.0003553776252215627,State_WA,0.0032683462516357857,State_VA,0.0027414875753872287
100,State_WA,0.0020127341389166195,State_WA,0.0026760333321360318,State_WI,0.020828696768783656,State_VI,0.0
101,State_WI,0.005664191155060683,State_WI,0.006343418387034693,State_WV,0.004108574981437252,State_VT,0.0
102,State_WV,0.0012539161177455103,State_WV,0.0019244030750432133,State_WY,0.0,State_WA,0.0
103,State_WY,0.0,State_WY,0.0,Relocation_Indicator_N,0.0,State_WI,0.0002829969728530219
104,Relocation_Indicator_N,0.0,Relocation_Indicator_N,0.0003323889983466189,Relocation_Indicator_Y,0.0,State_WV,0.0
105,Relocation_Indicator_Y,0.0005360249059561275,Relocation_Indicator_Y,0.0,Mod_Ind_N,0.018963895809073258,State_WY,0.0
106,Mod_Ind_N,0.0,Mod_Ind_N,0.07364979229346895,Mod_Ind_Y,0.0,Relocation_Indicator_N,0.0
107,Mod_Ind_Y,0.07364979229346895,Mod_Ind_Y,0.0,,,Relocation_Indicator_Y,0.0
